playlist_name,track_playlist,recommendation,hit_number,hit_track
top songs,"Hideaway by Kiesza, Photograph by Ed Sheeran, Locked Away by R. City, Countdown by Beyoncé, Drag Me Down by One Direction, Black Magic by Little Mix, Levels by Nick Jonas, Hello by Adele, Same Old Love by Selena Gomez, Confident by Demi Lovato, Here by Alessia Cara, Hide Away by Daya, Stitches by Shawn Mendes, Drink You Away by Justin Timberlake, Sorry by Justin Bieber, One Call Away by Charlie Puth, Hollow by Tori Kelly, Work by Rihanna, In The Night by The Weeknd, Gold by Kiiara, Don't Let Me Down by The Chainsmokers, Never Forget You by Zara Larsson, Kill Em With Kindness by Selena Gomez, Me Too by Meghan Trainor, Closer by The Chainsmokers, Ride by Twenty One Pilots, Famous by Kanye West, You're Such A by Hailee Steinfeld, Starving by Hailee Steinfeld, All We Know by The Chainsmokers, Don't Be So Hard On Yourself by Jess Glynne, iSpy (feat. Lil Yachty) by KYLE, Paris by The Chainsmokers, Attention by Charlie Puth","Paris by The Chainsmokers, Starving by Hailee Steinfeld & Grey feat. Zedd, One Call Away by Charlie Puth, Let Me Love You by DJ Snake feat. Justin Bieber, Unsteady (Erich Lee Gravity Remix) by X Ambassadors, Say You Won't Let Go by James Arthur, Gravity by John Mayer, Redemption Song by Bob Marley & The Wailers, I'm Not The Only One by Sam Smith, Thinking Out Loud by Ed Sheeran",2,"One Call Away by Charlie Puth, Paris by The Chainsmokers"
My favs!,"In Your Arms by Kina Grannis, California by Mindy Gledhill, Crazy Love by Mindy Gledhill, Anchor by Mindy Gledhill, Whole Wide World by Mindy Gledhill, Happy by Never Shout Never, The Call by Regina Spektor, Eet by Regina Spektor, Us by Regina Spektor, Sweet Disposition by The Temper Trap, Here by Allred, bluebird by Christina Perri, I Will Follow You Into The Dark by Death Cab for Cutie, The A Team by Ed Sheeran, OK, It's Alright With Me by Eric Hutchinson, 100 Years by Five For Fighting, Carry On by fun., Hide and Seek by Imogen Heap, Upside Down by Jack Johnson, Angel by Jack Johnson, I'm Yours by Jason Mraz, Valentine by Kina Grannis, Rolling In The Deep by Kina Grannis, Ho Hey by The Lumineers, Shake It Out by Florence + The Machine, Clair De Lune by Michael Dulin, Wanted by Hunter Hayes, A Thousand Years by Christina Perri, Kiss Me by Ed Sheeran, Waiting On the World to Change by John Mayer, Small Bump by Ed Sheeran, Count On Me by Bruno Mars, Radioactive by Imagine Dragons, Demons by Imagine Dragons, On Top Of The World by Imagine Dragons, Starships by Megan Nicole, Stay by Megan Nicole, Good Feeling by Megan Nicole, The Cave by Megan Nicole, You're Beautiful by James Blunt, One of Those Days by Joy Williams, Sunny Day by Joy Williams","Better Together by Jack Johnson, Banana Pancakes by Jack Johnson, Photograph by Ed Sheeran, The One That Got Away by Katy Perry, I'm Yours by Jason Mraz, Gravity by John Mayer, Waiting on the World to Change by John Mayer, Unwritten by Natasha Bedingfield, Budapest by George Ezra, Put Your Records On by Corinne Bailey Rae",1,I'm Yours by Jason Mraz
My Worship,"Eye of the Storm (feat. Gabe Real) by Ryan Stevenson, Tell Your Heart to Beat Again by Danny Gokey, I Am Yours by Lauren Daigle, My God by Nathan Sheridan, December by Tow'rs, TESTIFY by NEEDTOBREATHE, Free As A Bird by Rend Collective, Celebrate by Rend Collective, King Of The World by Natalie Grant, Fix My Eyes by for KING & COUNTRY, Oh My Soul by Casting Crowns, Circles by Tow'rs, River by Tow'rs, Rise by Danny Gokey, Because He Lives by Gaither Vocal Band, Lean On by 7eventh Time Down, Broken by Lifehouse, Power by Group 1 Crew, I Have This Hope by Tenth Avenue North, Love Is All by Jekob, Because He Lives (Amen) by Matt Maher, Stars by Stars Go Dim, You're Beautiful by Shane & Shane, Surrender by Passion","Hills and Valleys by Tauren Wells, Oceans (Where Feet May Fail) by Hillsong UNITED, Rescue by Lauren Daigle, Chain Breaker by Zach Williams, Eye of the Storm by Ryan Stevenson feat. GabeReal, Fear Is a Liar by Zach Williams, My Lighthouse by Rend Collective, Speak Life by TobyMac, Thrive by Casting Crowns, Greater by MercyMe",0,
Jams,"Simple Song by The Shins, Animal by Neon Trees, Hurt by Johnny Cash, Swing Life Away by Rise Against, Welcome to Paradise by Green Day, Kings and Queens by Thirty Seconds To Mars, This Is War by Thirty Seconds To Mars, Closer To The Edge by Thirty Seconds To Mars, Hurricane by Thirty Seconds To Mars, From Yesterday by Thirty Seconds To Mars, The Cave by Mumford & Sons, Shake It Out by Florence + The Machine, Samson by Regina Spektor, Chasing Cars by Snow Patrol, Moves by The New Pornographers, All I Want by The Offspring, Changing by The Airborne Toxic Event, Where Is My Mind? by Pixies, Here Comes Your Man by Pixies, Home by Edward Sharpe & The Magnetic Zeros, Ho Hey by The Lumineers, Cough Syrup by Young the Giant, You And I by Wilco, Hero by Family of the Year, Young Blood by Birdy, Young Folks by Peter Bjorn and John","The Kill (Bury Me) by Thirty Seconds To Mars, Where Is My Mind? by The Pixies, Everybody Talks by Neon Trees, Drive by Incubus, Wish You Were Here by Pink Floyd, Ho Hey by The Lumineers, Chasing Cars by Snow Patrol, The Sound of Silence by Simon & Garfunkel, Fast Car by Tracy Chapman, High and Dry by Radiohead",2,"Chasing Cars by Snow Patrol, Ho Hey by The Lumineers"
Cuddles,"Hello My Old Heart by The Oh Hellos, Together by Brandon & Leah, Beside You by Phildel, All I Want by Kodaline, Kiss Me by Ed Sheeran, Medicine by The 1975, Only Love by Ben Howard, Can't Help Falling in Love by Haley Reinhart, Photograph by Ed Sheeran, Whole Wide World by Bahamas, White Winter Hymnal by Fleet Foxes, She Is Love by Parachute, Beautiful Girl by William Fitzsimmons, Anchor by Novo Amor, Dust to Dust by The Civil Wars, La Vie En Rose by Daniela Andrade","Perfect by Ed Sheeran, All I Want by Kodaline, Dear Wormwood by The Oh Hellos, Thinking Out Loud by Ed Sheeran, High Hopes by Kodaline, La Vie En Rose by Louis Armstrong, Come Away With Me by Norah Jones, Make You Feel My Love by Adele, Moonlight Serenade by Glenn Miller, Unforgettable by Nat King Cole",1,All I Want by Kodaline
the used,"I Caught Fire by The Used, Let It Bleed by The Used, All That I've Got by The Used, Blue And Yellow by The Used, The Bird And The Worm by The Used, Paralyzed by The Used, Girl's Not Grey by AFI, Love Like Winter by AFI, Only One by Yellowcard, The Feel Good Drag by Anberlin, Your Guardian Angel by The Red Jumpsuit Apparatus, I'm So Sick by Flyleaf, Fully Alive by Flyleaf, Cassie by Flyleaf, Break by Three Days Grace, The Good Life by Three Days Grace, Let It Die by Three Days Grace, One X by Three Days Grace, Wake Up by Three Days Grace, Now or Never by Three Days Grace, My World by Sick Puppies, Cancer by Sick Puppies, Psycho by Puddle Of Mudd, MakeDamnSure by Taking Back Sunday, Existentialism On Prom Night by Straylight Run, Island by The Starting Line, The Best Of Me by The Starting Line, Stay by Mayday Parade, Ghosts by Mayday Parade, Demons by Mayday Parade, You Be The Anchor That Keeps My Feet On The Ground, I'll Be The Wings That Keep Your Heart In The Clouds by Mayday Parade, Blackout by Breathe Carolina","I Caught Fire by The Used, Never Too Late by Three Days Grace, Miserable at Best by Mayday Parade, The Kill (Bury Me) by Thirty Seconds to Mars, With Me by Sum 41, Hear You Me by Jimmy Eat World, Vindicated by Dashboard Confessional, Ghost by Badflower, Life to Fix by The Record Company, Wish You Were Here by Avril Lavigne",1,I Caught Fire by The Used
Calm,"iT's YoU by ZAYN, iT's YoU by ZAYN, Needed Me by Rihanna, The Hills by The Weeknd, iT's YoU by ZAYN, Paradise by Logic, Ready by Fabolous, Throw It In The Bag by Fabolous, One Call Away by Chingy, Overtime by Bryson Tiller, Differences by Chris Perry, With You by Drake, Deja Vu by J. Cole, In The End by Linkin Park","Dusk Till Dawn by ZAYN feat. Sia, Unfaithful by Rihanna, Breathe by Fabolous feat. Mike Shorey, Turn Your Lights Down Low by Bob Marley & The Wailers feat. Lauryn Hill, Marvin's Room by Drake, Ex-Factor by Lauryn Hill, We Belong Together by Mariah Carey, No Ordinary Love by Sade, Take Care by Drake feat. Rihanna, Redemption Song by Bob Marley & The Wailers",0,
White music,"Price Tag by Jessie J, Bang Bang by Jessie J, Rather Be (feat. Jess Glynne) by Clean Bandit, Bubbly by Colbie Caillat, Lucky by Jason Mraz, Story of My Life by One Direction, Heart Attack by Demi Lovato, Good Time by Owl City, Fireflies by Owl City, Take Your Time by Sam Hunt, Hold My Hand by Jess Glynne, Say You Love Me by Jessie Ware, Only Love Can Hurt Like This by Paloma Faith, Bad Decisions by Ariana Grande","Domino by Jessie J, Fireflies by Owl City, Hold My Hand by Jess Glynne, Shake It Off by Taylor Swift, Life is a Highway by Rascal Flatts, Livin' On A Prayer by Bon Jovi, Good Time by Owl City & Carly Rae Jepsen, Wagon Wheel by Darius Rucker, Can't Stop the Feeling! by Justin Timberlake, On Top of the World by Imagine Dragons",2,"Fireflies by Owl City, Hold My Hand by Jess Glynne"
workout,"Ass Drop by Wiz Khalifa, Wait (The Whisper Song) by Ying Yang Twins, Wait a Minute by Phresher, Birthday Cake by Rihanna, Dance (A$$) by Big Sean, Work by Rihanna, Blow the Whistle by Too $hort, No Complaints by Metro Boomin, Magnolia by Playboi Carti, Body by Sean Paul, Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie) by PnB Rock","Work B**ch by Britney Spears, POWER by Kanye West, Can't Hold Us by Macklemore & Ryan Lewis feat. Ray Dalton, Till I Collapse by Eminem feat. Nate Dogg, Run This Town by Jay-Z feat. Rihanna & Kanye West, Black Skinhead by Kanye West, Berzerk by Eminem, All Of The Lights by Kanye West, No Problem by Chance The Rapper feat. Lil Wayne & 2 Chainz, Bounce Back by Big Sean",0,
Drive ,"Only Love by Mumford & Sons, WALLS by Kings of Leon, A Car, A Torch, A Death by Twenty One Pilots, Oh Ms Believer by Twenty One Pilots, March To The Sea by Twenty One Pilots, Believe by Mumford & Sons, Monster by Mumford & Sons, Ditmas by Mumford & Sons, Rivers And Roads by The Head and the Heart, Flowers In Your Hair by The Lumineers, Dead Sea by The Lumineers, Ho Hey by The Lumineers, Stubborn Love by The Lumineers, Big Parade by The Lumineers, Morning Song by The Lumineers, Screen by Twenty One Pilots, Car Radio by Twenty One Pilots, House Of Gold by Twenty One Pilots, Ode To Sleep by Twenty One Pilots, With Or Without You by U2, I Still Haven't Found What I'm Looking For by U2, Cough Syrup by Young the Giant, Silvertongue by Young the Giant, Whispers In The Dark by Mumford & Sons, I Will Wait by Mumford & Sons, Holland Road by Mumford & Sons, Reminder by Mumford & Sons, Broken Crown by Mumford & Sons, Below My Feet by Mumford & Sons, Not With Haste by Mumford & Sons, The Cave by Mumford & Sons, I Gave You All by Mumford & Sons, Timshel by Mumford & Sons, Thistle & Weeds by Mumford & Sons, Awake My Soul by Mumford & Sons, Dust Bowl Dance by Mumford & Sons, After The Storm by Mumford & Sons, Dirty Paws by Of Monsters and Men, Home by Edward Sharpe & The Magnetic Zeros, Cancer by My Chemical Romance, Riptide by Vance Joy, Demons by Imagine Dragons, Fire and the Flood by Vance Joy, Little Talks by Of Monsters and Men, Hold Back The River by James Bay, Let It Go by James Bay, All I Want by Kodaline, 2 Heads by Coleman Hell, Praying by Kesha","I Will Wait by Mumford & Sons, Car Radio by Twenty One Pilots, Ophelia by The Lumineers, High Hopes by Kodaline, Let Her Go by Passenger, Ho Hey by The Lumineers, Stressed Out by Twenty One Pilots, Redemption Song by Bob Marley & The Wailers, Little Talks by Of Monsters and Men, Guiding Light by Mumford & Sons",4,"Ho Hey by The Lumineers, Car Radio by Twenty One Pilots, I Will Wait by Mumford & Sons, Little Talks by Of Monsters and Men"
Gaming Music,"I Stand Alone by Godsmack, Cryin' Like A Bitch!! by Godsmack, Voodoo by Godsmack, Awake by Godsmack, Tear Away by Drowning Pool, Sinner by Drowning Pool, Happy? by Mudvayne, Scream With Me by Mudvayne, Not Falling by Mudvayne, Bad Company by Five Finger Death Punch, Warrior by Disturbed, Salvation by Chimaira, Click Click Boom by Saliva, Ladies And Gentlemen by Saliva, Better Than Me by Hinder, I Hate Everything About You by Three Days Grace, (Rock) Superstar by Cypress Hill, Suffocate by Motograter, I Am Machine by Three Days Grace, Burn by Three Days Grace, Riot by Three Days Grace, Pain by Three Days Grace, I Will Not Bow by Breaking Benjamin, Dance With The Devil by Breaking Benjamin, White Rabbit by Egypt Central, Two Weeks by All That Remains, Jar of Hearts by Christina Perri, Dirty World by Dope","I Stand Alone by Godsmack, Animal I Have Become by Three Days Grace, Happy? by Mudvayne, Bulls on Parade by Rage Against The Machine, The Pot by Tool, Down with the Sickness by Disturbed, Chop Suey! by System of a Down, Seven Nation Army by The White Stripes, Sound of Madness by Shinedown, Judith by A Perfect Circle",2,"I Stand Alone by Godsmack, Happy? by Mudvayne"
Celtic,"The Voice by Celtic Woman, You Raise Me Up by Celtic Woman, When You Wish Upon A Star by Celtic Woman, Stay Awake by Celtic Woman, Over The Rainbow by Celtic Woman, Awakening by David Downes, Ave Maria by The Traditional, You'll Never Walk Alone by Richard Rodgers, The Prayer by Celtic Woman, Over The Rainbow by Celtic Woman, The Voice by Celtic Woman, Scarborough Fair by Celtic Woman, Danny Boy by Celtic Woman, One World by Celtic Woman, Ave Maria by Celtic Woman, Someday by Celtic Woman, You Raise Me Up by Celtic Woman","Feeling Good by Michael Bublé, Don't Stop Believin by Journey, Scarborough Fair/Canticle by Simon & Garfunkel, The Voice by Celtic Woman, High Hopes by Panic! At The Disco, Angel by Sarah McLachlan, I Can See Clearly Now by Johnny Nash, On Eagle's Wings by Josh Groban, The Climb by Miley Cyrus, O Magnum Mysterium by Morten Lauridsen",2,"The Voice by Celtic Woman, The Voice by Celtic Woman"
JAMZ,"Bang Bang by Jessie J, All About That Bass by Meghan Trainor, Fancy by Iggy Azalea, Summer by Calvin Harris, Not a Bad Thing by Justin Timberlake, Best Day Of My Life by American Authors, Timber by Pitbull, Sure Thing by Miguel, Good Feeling by Flo Rida, Dynamite by Taio Cruz, Break Your Heart by Taio Cruz, Some Nights by fun., Good Vibrations by The Beach Boys","Dynamite by Taio Cruz, Domino by Jessie J, Feel So Close by Calvin Harris, Shut Up and Dance by WALK THE MOON, Can't Stop the Feeling! by Justin Timberlake, Uptown Funk by Mark Ronson ft. Bruno Mars, Raise Your Glass by P!nk, Good Feeling by Flo Rida, Happy by Pharrell Williams, Born This Way by Lady Gaga",2,"Good Feeling by Flo Rida, Dynamite by Taio Cruz"
drive,"So Good by B.o.B, Summer by Calvin Harris, Some Nights by fun., Radioactive by Imagine Dragons, Demons by Imagine Dragons, On Top Of The World by Imagine Dragons, Bleeding Out by Imagine Dragons, I Gotta Feeling by The Black Eyed Peas, We Found Love by Rihanna, Rather Be (feat. Jess Glynne) by Clean Bandit, Good Time by Owl City, Somebody That I Used To Know by Gotye, Mirrors by Justin Timberlake, Counting Stars by OneRepublic, Good Feeling by Flo Rida, Supermassive Black Hole by Muse, Brokenhearted by Karmin, I Lived by OneRepublic, Crazy In Love by Beyoncé, More Than a Feeling by Boston, Every Teardrop Is a Waterfall by Coldplay, Lush Life by Zara Larsson, Me Too by Meghan Trainor, Don't Let Me Down by The Chainsmokers, Side To Side by Ariana Grande, All We Know by The Chainsmokers, What Do I Know? by Ed Sheeran, Closer by The Chainsmokers, Paris by The Chainsmokers, The Greatest by Sia, Stay (with Alessia Cara) by Zedd, History by One Direction, Me And My Broken Heart by Rixton, It's Gotta Be You by Isaiah, That's What I Like by Bruno Mars, Bless The Broken Road by Rascal Flatts, Let Me Love You by SJUR, Your Song by Rita Ora, Don't Let Me Down by Conor Maynard, Anna Sun by WALK THE MOON, Down by Fifth Harmony, Trumpets by Jason Derulo, Havana by Camila Cabello","Shots by Imagine Dragons, Something Just Like This by The Chainsmokers & Coldplay, I Lived by OneRepublic, Don't Stop Believin by Journey, Sunday Morning by Maroon 5, Put Your Records On by Corinne Bailey Rae, Drive By by Train, High Hopes by Panic! At The Disco, Castle on the Hill by Ed Sheeran, Gravity by John Mayer",1,I Lived by OneRepublic
rap,"Cocaine by 50 Cent, Deja Vu by Eminem, Underground by Eminem, Hello by Eminem, Insane by Eminem, 3 a.m. by Eminem, Beautiful by Eminem, Superman by Eminem, Suicidal Thoughts by The Notorious B.I.G., Top Of The World by The Cataracs, Phoenix by A$AP Rocky, Marvins Room by Drake, Love Me by Lil Wayne, Black Skinhead by Kanye West, New Slaves by Kanye West, Blood On The Leaves by Kanye West, You See Me by Childish Gambino, POWER by Kanye West, Just A Lil Bit by 50 Cent, No Sleep by Wiz Khalifa, We Dem Boyz by Wiz Khalifa, No Type by Rae Sremmurd, CoCo by O.T. Genasis, Who Do You Love? by YG, Know Yourself by Drake, Switch Lanes by Tyga, Let It Go by A$AP Ferg, Back To Back by Drake","Lose Yourself by Eminem, Power by Kanye West, Started From the Bottom by Drake, Stronger by Kanye West, Till I Collapse by Eminem, Nonstop by Drake, Can't Tell Me Nothing by Kanye West, Survival by Eminem, God's Plan by Drake, All of the Lights by Kanye West",0,
PUNK GOES...,"Ain't It Fun by Tyler Carter, Wrecking Ball by August Burns Red, Burn by Crown The Empire, Drunk In Love by Oceans Ate Alaska, Royals by Youth in Revolt, Chocolate by Knuckle Puck, Sweater Weather by Slaves, Stay The Night by State Champs, Happy by Palisades, Somebody That I Used To Know by Mayday Parade, Some Nights by Like Moths To Flames, We Found Love by Forever The Sickest Kids, Payphone by Crown The Empire, Paradise by Craig Owens, Mercy by The Word Alive, F**K You by Sleeping With Sirens, Rolling In the Deep by Go Radio, Runaway by Silverstein, I Wish by The Secret Handshake, Men In Black by Forever The Sickest Kids, I Wanna Love You by The Maine, The Seed (2.0) by Person L, Gin And Juice by Hot Rod Circuit, Tennessee by New Found Glory, I Melt With You by Sugarcult, Your Love by Midtown, Straight Up by Halifax, Dead Man's Party by A Thorn For Every Heart, Wrapped Around Your Finger by Brazil, Everybody Wants To Rule The World by JamisonParker, Video Killed The Radio Star by Amber Pacific, All I Want by Emery, Stars by Bleeding Through, Enjoy The Silence by Anberlin, Closer by Asking Alexandria, Today by Yellowcard, Torn by Hands Like Houses, Gangsta's Paradise by Falling In Reverse, Good Riddance (Time Of Your Life) by Ice Nine Kills, Do You Hear What I Hear? by William Beckett, Do You Hear What I Hear? by William Beckett, Candy by Slick Shoes, Crush by Noise Ratchet, Survivor by Knockout, I'm Real by The Starting Line, Sometimes by Reach The Sky, All Or Nothing by Fake ID, Borderline by Showoff, Apologize by Silverstein, Over My Head (Cable Car) by A Day To Remember, Flagpole Sitta by Chiodos, See You Again by Breathe Carolina, Disturbia by The Cab, Love Song by Four Year Strong, Down by Breathe Carolina, In My Head by Mayday Parade, Right Now by Asking Alexandria, Paper Planes by This Century, Dead And Gone by Cute Is What We Aim For, My Love by We Came As Romans, F**K You by Sleeping With Sirens, Rolling In the Deep by Go Radio, Runaway by Silverstein, Somebody That I Used To Know by Mayday Parade, Some Nights by Like Moths To Flames, We Found Love by Forever The Sickest Kids, Payphone by Crown The Empire, Paradise by Craig Owens, Mercy by The Word Alive, Ain't It Fun by Tyler Carter, Wrecking Ball by August Burns Red, Burn by Crown The Empire, Drunk In Love by Oceans Ate Alaska, Royals by Youth in Revolt, Chocolate by Knuckle Puck, Sweater Weather by Slaves, Stay The Night by State Champs, Happy by Palisades","Miserable at Best by Mayday Parade, Johnny Ringo by Crown The Empire, Whoa Oh! (Me vs. Everyone) by Forever The Sickest Kids, Unwritten by Natasha Bedingfield, The Kill (Bury Me) by Thirty Seconds To Mars, Move Along by The All-American Rejects, The Climb by Miley Cyrus, I Lived by OneRepublic, Boston by Augustana, The Adventure by Angels & Airwaves",0,
workout 2016,"Pt. 2 by Kanye West, Low Life by Future, Where Ya At by Future, Say It by Tory Lanez, Crew Love by Drake, All The Way Up by Fat Joe, Mr. Loverman by Shabba Ranks, Diamonds Dancing by Drake, Still Here by Drake, All I Want Is You by Miguel, Liquor by Chris Brown, Fade by Kanye West, Sober by Childish Gambino, Starboy by The Weeknd, With You by Drake, You by Keyshia Cole","Stronger by Kanye West, Jumpman by Drake & Future, POWER by Kanye West, Started From the Bottom by Drake, Life Is Good by Future feat. Drake, Can't Tell Me Nothing by Kanye West, Nonstop by Drake, Mask Off by Future, Touch the Sky by Kanye West feat. Lupe Fiasco, Legend by Drake",0,
rock ,"Nothing Else Matters by Metallica, Toxicity by System Of A Down, Chop Suey! by System Of A Down, Mr. Brownstone by Guns N' Roses, Ain't It Fun by Guns N' Roses, Paradise by Coldplay, Walk by Pantera, Eye of the Tiger by Survivor, Playing God by Paramore, Brick By Boring Brick by Paramore, The Kids Aren't Alright by The Offspring, Numb by Linkin Park, Last Resort by Papa Roach, It's My Life by Bon Jovi, You Could Be Mine by Guns N' Roses, Black Magic Woman by Carlos Santana, Hey Joe by Jimi Hendrix, Toxicity by System Of A Down, In The End by Linkin Park, One In A Million by Guns N' Roses, Patience by Guns N' Roses, Yesterdays by Guns N' Roses, Civil War by Guns N' Roses, Knockin' On Heaven's Door by Guns N' Roses, Seven Nation Army by The White Stripes, F**k The System by System Of A Down, Numb by Linkin Park, Sweet Child O' Mine by Guns N' Roses, Let Yourself Go by Green Day, Like a Stone by Audioslave, Behind Blue Eyes by Limp Bizkit, Buried Alive by Avenged Sevenfold, Behind Blue Eyes by The Who, The Day That Never Comes by Metallica, Dream On by Aerosmith, Back In Black by AC/DC, B.Y.O.B. by System Of A Down, Welcome To The Jungle by Guns N' Roses, Come As You Are by Nirvana, Lonely Day by System Of A Down, Master Of Puppets by Metallica, Heart-Shaped Box by Nirvana, Another Brick in the Wall, Pt. 2 by Pink Floyd, Live And Let Die by Guns N' Roses, Even Flow by Pearl Jam, Nightmare by Avenged Sevenfold, Can't Stop by Red Hot Chili Peppers, One by Metallica, Wish You Were Here by Pink Floyd, About A Girl by Nirvana, Sad But True by Metallica, Rape Me by Nirvana, By The Way by Red Hot Chili Peppers, Shoot to Thrill by AC/DC, It's So Easy by Guns N' Roses, Double Talkin' Jive by Guns N' Roses, Dust N' Bones by Guns N' Roses, Tears Don't Fall by Bullet For My Valentine, Black by Pearl Jam, Livin' On A Prayer by Bon Jovi, Pumped Up Kicks by Foster The People, Don't Forget Me by Red Hot Chili Peppers, Bones by Diamond Head, Angel Witch by Angel Witch, Scars by Papa Roach, Butterfly by Crazy Town, Roulette by System Of A Down, The Unforgiven II by Metallica, Raining Blood by Slayer, Wish You Were Here by Pink Floyd, 21 Guns by Green Day, The Reason by Hoobastank, Zombie by The Cranberries, Always by Bon Jovi, Wind Of Change by Scorpions, Crazy by Aerosmith, My Sacrifice by Creed, Wake Me Up When September Ends by Green Day, Love Hurts by Nazareth, Pieces by Sum 41, Stop Crying Your Heart Out by Oasis, Never Too Late by Three Days Grace, I Miss You by blink-182, Look What You've Done by Jet, Bed Of Roses by Bon Jovi, Since I Don't Have You by Guns N' Roses, All Nightmare Long by Metallica, Break Stuff by Limp Bizkit","November Rain by Guns N' Roses, Nothing Else Matters by Metallica, Chop Suey! by System Of A Down, Black by Pearl Jam, The Sound of Silence by Disturbed, Come As You Are by Nirvana, The Unforgiven by Metallica, Lonely Day by System Of A Down, Still Got The Blues by Gary Moore, Kashmir by Led Zeppelin",5,"Nothing Else Matters by Metallica, Chop Suey! by System Of A Down, Come As You Are by Nirvana, Lonely Day by System Of A Down, Black by Pearl Jam"
jams,"Outside by Calvin Harris, How Deep Is Your Love by Calvin Harris, Here by Alessia Cara, Party In The U.S.A. by Miley Cyrus, John Cougar, John Deere, John 3:16 by Keith Urban, The Hills by The Weeknd, Crazy In Love by Beyoncé, Drag Me Down by One Direction, Do It Again by Pia Mia, Again by Fetty Wap, Be Right There by Diplo, Work by Rihanna, Headlines by Drake, Runaway (U & I) by Galantis, Don't Let Our Love Start Slippin' Away by Vince Gill, My Type by Saint Motel, Lush Life by Zara Larsson, Gold by Kiiara, Fancy by Iggy Azalea, Buy U a Drank (Shawty Snappin') by T-Pain, $ave Dat Money (feat. Fetty Wap & Rich Homie Quan) by Lil Dicky, Promise by Kid Ink","Summer by Calvin Harris, Trap Queen by Fetty Wap, Feel So Close by Calvin Harris, Again by Fetty Wap, Don't Know Why by Norah Jones (Jazz influence), Tennessee Whiskey by Chris Stapleton (Country with a reflective mood), Can't Stop the Feeling! by Justin Timberlake (Pop, energetic), Take Back Home Girl by Chris Lane feat. Tori Kelly (Country, love-themed), Come Away With Me by Norah Jones (Jazz, reflective, longing), This Is What You Came For by Calvin Harris feat. Rihanna (Pop, energetic, party mood)",1,Again by Fetty Wap
car,"Empty by Ray LaMontagne, I Want You by Kings of Leon, Hallelujah by Jeff Buckley, Zombie by The Cranberries, I Will Survive by Cake, Shake by The Head and the Heart, Peace by O.A.R., The Wire by HAIM, Hold On by Alabama Shakes, From Eden by Hozier, Us by Regina Spektor, Darkness on the Edge of Town by Bruce Springsteen, Fire and the Flood by Vance Joy, Sweet Disposition by The Temper Trap, You and I by Ingrid Michaelson, Geronimo by Sheppard, 2 Heads by Coleman Hell","Trouble by Ray LaMontagne, Use Somebody by Kings of Leon, Linger by The Cranberries, Hold Back the River by James Bay, Gravity by John Mayer, Ho Hey by The Lumineers, Let It Go by James Bay, Drive by Incubus, High Hopes by Kodaline, Better Man by Paolo Nutini",0,
God is Good,"Always by Kristian Stanfill, How He Loves by David Crowder Band, Set a Fire by Will Reagan, Tell Your Heart to Beat Again by Danny Gokey, I Believe by Wes King, There Is Power In The Blood by Selah, The Words I Would Say by Sidewalk Prophets, Your Love Never Fails by Newsboys, Because He Lives (Amen) by Matt Maher, Hold Me (feat. Tobymac) by Jamie Grace, Nothing I Hold on to (Live) by Will Reagan, I Can Only Imagine by MercyMe, Ever Be by Aaron Shust","Flawless by MercyMe, God's Not Dead (Like A Lion) by Newsboys, Not In A Hurry by Will Reagan & United Pursuit, Chain Breaker by Zach Williams, Oceans (Where Feet May Fail) by Hillsong UNITED, Sparrows by Jason Gray, Eye of the Storm by Ryan Stevenson feat. GabeReal, Scars by I AM THEY, Control (Somehow You Want Me) by Tenth Avenue North, Rescue by Lauren Daigle",0,
