playlist_name,track_playlist,recommendation,hit_number,hit_track,,
old faves,"Mr. Jones by Counting Crows, Hanginaround by Counting Crows, Better Days by The Goo Goo Dolls, Sympathy by The Goo Goo Dolls, Let Love In by The Goo Goo Dolls, Home by The Goo Goo Dolls, Let Love In by The Goo Goo Dolls, Better Days by The Goo Goo Dolls, Hurts So Good by John Mellencamp, Hold My Hand by Hootie & The Blowfish, Let Her Cry by Hootie & The Blowfish, Time by Hootie & The Blowfish, Bitter Sweet Symphony by The Verve, I'll Be There For You by The Rembrandts, Your Life Is Now by John Mellencamp, Summer Of Love by John Mellencamp, Take It Easy by Eagles, Faithfully by Journey, Don't Let The Sun Go Down On Me by Elton John, With Or Without You by U2, I Still Haven't Found What I'm Looking For by U2, One by U2, Landslide by Fleetwood Mac, Let's Groove by Earth, Wind & Fire, Thriller by Michael Jackson, September by Earth, Wind & Fire, Fire And Rain by James Taylor, No Ordinary Love by Sade, Cherish the Day by Sade, For Once In My Life by Stevie Wonder, Ain't No Sunshine by Bill Withers, My Girl by The Temptations, Lovely Day by Bill Withers, Drift Away by Uncle Kracker, Fly by Sugar Ray, Use Me by Bill Withers, In The Name Of Love by Bill Withers, The First Cut Is The Deepest by Sheryl Crow, Seven Nation Army by The White Stripes, Let's Stay Together by Al Green, Easy by Commodores, What You Won't Do for Love by Bobby Caldwell, How's It Going To Be by Third Eye Blind, Crazy by Gnarls Barkley","Iris by The Goo Goo Dolls, Ain't No Sunshine by Bill Withers, Jack & Diane by John Mellencamp, Landslide by Fleetwood Mac, Walking in Memphis by Marc Cohn, Come Away With Me by Norah Jones, Blackbird by The Beatles, Wish You Were Here by Pink Floyd, Turn! Turn! Turn! by The Byrds, Lean on Me by Bill Withers",2,"Landslide by Fleetwood Mac, Ain't No Sunshine by Bill Withers",,
Robyn,"Right Now by Sabrina Carpenter, White Flag by Sabrina Carpenter, Wide Awake by Katy Perry, Paper Doll by Bea Miller, Hello by Adele, Have Yourself A Merry Little Christmas by The Jackson 5, Santa Claus Is Coming To Town by The Jackson 5, Little Drummer Boy by The Jackson 5, Rudolph The Red-Nosed Reindeer by The Jackson 5, Sorry by Justin Bieber, Same Old Love by Selena Gomez, One Call Away by Charlie Puth, In The Night by The Weeknd, Stitches by Shawn Mendes, Confident by Demi Lovato, Hide Away by Daya, Here by Alessia Cara","Santa Claus Is Coming to Town by The Jackson 5, Thumbs by Sabrina Carpenter, Rolling in the Deep by Adele, Underneath the Tree by Kelly Clarkson, Stronger (What Doesn't Kill You) by Kelly Clarkson, Someone Like You by Adele, Jingle Bell Rock by Bobby Helms, Eye of the Tiger by Survivor, I Want You Back by The Jackson 5, Shake It Off by Taylor Swift",0,,,
beach jams,"House Party by Sam Hunt, Party People by Florida Georgia Line, Dirt by Florida Georgia Line, Anything Goes by Florida Georgia Line, Kick The Dust Up by Luke Bryan, Games by Luke Bryan, Play It Again by Luke Bryan, Roller Coaster by Luke Bryan, Shut It Down by Luke Bryan, I See You by Luke Bryan, Blessings by Big Sean, Drag Me Down by One Direction, Toes by Zac Brown Band","One Margarita by Luke Bryan, Cruise by Florida Georgia Line, House Party by Sam Hunt, American Country Love Song by Jake Owen, Knee Deep (feat. Jimmy Buffett) by Zac Brown Band, Somewhere on a Beach by Dierks Bentley, Play It Again by Luke Bryan, Sun Daze by Florida Georgia Line, Body Like A Back Road by Sam Hunt, Barefoot Blue Jean Night by Jake Owen",2,"House Party by Sam Hunt, Play It Again by Luke Bryan",,
25,"December by Nikki & Rich, Tomorrow by Daughter, It Makes No Difference by Rick Danko and Richard Manuel, Wordless Chorus by My Morning Jacket, Winter by Daughter, The City by Ed Sheeran, Give Me Love by Ed Sheeran, The Fall by Rhye, On The Way Home by John Mayer, Stolen by Dashboard Confessional, Comin' Home by City and Colour, The Only One by Manchester Orchestra, Out Of My League by Fitz and The Tantrums, To Be Alone With You by Sufjan Stevens, I Feel It All by Feist, You're the One by The Black Keys, The Only One by The Black Keys, Let Me Go by HAIM, Summertime by The Head and the Heart, Shake by The Head and the Heart, Let's Be Still by The Head and the Heart, Gone by The Head and the Heart, The Truth by Dr. Dog, Morning Song by The Avett Brothers, Kiss Me by Ed Sheeran, Love Love Love by Of Monsters and Men, Dirty Paws by Of Monsters and Men, Little Talks by Of Monsters and Men, Flowers In Your Hair by The Lumineers, Dead Sea by The Lumineers, Stubborn Love by The Lumineers, Big Parade by The Lumineers, Morning Song by The Lumineers, The Ice Is Getting Thinner by Death Cab for Cutie, Montezuma by Fleet Foxes, Blue Skies by Noah And The Whale, White Winter Hymnal by Birdy, Fire and Rain by Birdy, Young Blood by Birdy, Ends of the Earth by Lord Huron, The Stranger by Lord Huron, Hannah by Freelance Whales, Cannons by Youth Lagoon, July by Youth Lagoon, Montana by Youth Lagoon, The Hunt by Youth Lagoon, Say Yes by Elliott Smith, Strong Enough by Sheryl Crow, Two Fingers by Jake Bugg, Broken by Jake Bugg, Me And You by Jake Bugg, Diamonds by Ben Howard, Everything by Ben Howard, From Where You Are by Lifehouse, Sweet Disposition by The Temper Trap, I Stand Corrected by Vampire Weekend, Rivers And Roads by The Head and the Heart, Sure Thing by Miguel, Lost In You by Olivia Broadfield, Homesick by Kings of Convenience, Winter by Joshua Radin, Ride by Cary Brothers, Everywhere I Go by Lissie, Go Your Own Way by Lissie, Oblivion by Bastille, Crooked Teeth by Death Cab for Cutie, To Whom It May Concern by The Civil Wars, I Miss You by blink-182, The Heart of Life by John Mayer, A Lack Of Color by Death Cab for Cutie, Sea of Love by Cat Power, The Perfect Space by The Avett Brothers, The Greatest by Cat Power, Let It Be Me by Ray LaMontagne, Empty by Ray LaMontagne, Shelter by Ray LaMontagne, Hold You in My Arms by Ray LaMontagne, Fire by Augustana, Los Angeles by Peter Bradley Adams, Falling Slowly by Glen Hansard","Rivers and Roads by The Head and the Heart, Photograph by Ed Sheeran, Angela by The Lumineers, Let It Go by James Bay, Slow Dancing in a Burning Room by John Mayer, Holocene by Bon Iver, The Night We Met by Lord Huron, Say Something by A Great Big World & Christina Aguilera, Gravity by Sara Bareilles, Skinny Love by Birdy",0,,,
2016,"Gold by Kiiara, Needed Me by Rihanna, Low Life by Future, Say It by Flume, Please Don't Go by Joel Adams, Once In a While by Timeflies, Hype by Drake, Wicked by Future, Sex by Cheat Codes, Stay by Kygo, Famous by Kanye West, Unsteady by X Ambassadors, Hopelessly Devoted To You by Olivia Newton-John, Complicated by Avril Lavigne, Rise by Katy Perry, This Town by Niall Horan","Rise by Katy Perry, Work by Rihanna ft. Drake, Cheap Thrills by Sia, Just Like Fire by P!nk, Adventure of a Lifetime by Coldplay, Hymn for the Weekend by Coldplay, Love on the Brain by Rihanna, Sound & Color by Alabama Shakes, The Sound of Silence by Disturbed, Unsteady by X Ambassadors",2,"Unsteady by X Ambassadors, Rise by Katy Perry",,
chillllll,"How Deep Is Your Love by Calvin Harris, Here by Alessia Cara, As Long As You Love Me by Justin Bieber, Motivation by Kelly Rowland, Killing Me Softly with His Song by Fugees, Last Night by Keyshia Cole, Take Me To Church by Hozier, Summer by Calvin Harris, Rather Be (feat. Jess Glynne) by Clean Bandit, White Iverson by Post Malone, Budapest by George Ezra, Comfortable by K CAMP, Good Lovin by Ludacris","Adore You by Harry Styles, Let's Stay Together by Al Green, Thinking Out Loud by Ed Sheeran, Put It All on Me by Ed Sheeran feat. Ella Mai, Gravity by John Mayer, Love on the Weekend by John Mayer, Die A Happy Man by Thomas Rhett, Beyond by Leon Bridges, Best Part by Daniel Caesar feat. H.E.R., Say You Won't Let Go by James Arthur",0,,,
Throw it Back,"Let Me Love You by Mario, Love Letter by R. Kelly, Because Of You by Ne-Yo, Say Goodbye by Chris Brown, Buy U a Drank (Shawty Snappin') by T-Pain, We Belong Together by Mariah Carey, I'm Yours by Jason Mraz, Sunday Morning by Maroon 5, Summer Nights by Lil Rob, Crush by David Archuleta, Suffocate by J. Holiday, Cry Me a River by Justin Timberlake, Differences by Ginuwine","We Belong Together by Mariah Carey, Back to December by Taylor Swift, Someone Like You by Adele, Let Her Go by Passenger, Un-break My Heart by Toni Braxton, Gravity by John Mayer, Thinking Out Loud by Ed Sheeran, I Will Always Love You by Whitney Houston, When We Were Young by Adele, Fix You by Coldplay",1,We Belong Together by Mariah Carey,,
Texas country,"Regrets by Casey Donahew, Sunshine by Ryan Bingham, Sunrise by Ryan Bingham, Sorry by Casey Donahew, Missing You by Casey Donahew, Loser by Casey Donahew, Go to Hell by Casey Donahew, Let You Go by Casey Donahew, Fall in Love Again by Josh Abbott Band, Gone Away by Whiskey Myers, Halfway to Jackson by Justin Townes Earle, Virginia by Whiskey Myers, Reckoning by Whiskey Myers, Where The Sun Don't Shine by Whiskey Myers, Home by Whiskey Myers, Home by Whiskey Myers, White Trash Story by Casey Donahew, High by Casey Donahew, Fallen by Casey Donahew, Holes by Cody Johnson, Taste by Josh Abbott Band, Whole Damn Town by Turnpike Troubadours, Alabama by Cross Canadian Ragweed, Saturday Night by Wade Bowen, Under the Neons by Ryan Beaver, Beat of Your Heart by Cory Morrow, Fade Away by Rob Baird, Fool's Gold by The Damn Quails, Just Call Me Lonesome by Radney Foster, Cattleman's Gun by Dean Brody, Stone by Whiskey Myers, Fixin' to Die by Steve Earle, How Far by Whiskey Myers, Anna Marie by Whiskey Myers, Calm Before The Storm by Whiskey Myers, Colloquy by Whiskey Myers, It Won't Matter Anyway by Shotgun Rider","Stone by Whiskey Myers, Hallelujah by Ryan Bingham, One Star Flag by Casey Donahew, Travelin' Man by The Steeldrivers, Cover Me Up by Jason Isbell, Tennessee Whiskey by Chris Stapleton, The Weary Kind by Ryan Bingham, Feet Don't Touch The Ground by Stoney LaRue, Highway 20 Ride by Zac Brown Band, Drive (For Daddy Gene) by Alan Jackson",1,Stone by Whiskey Myers,,
Clare,"Waiting On the World to Change by John Mayer, Your Song by Elton John, Emotions by Mariah Carey, Count On Me by Bruno Mars, I'm Every Woman by Whitney Houston, The Littlest Birds by The Be Good Tanyas, Over The Rainbow by Israel Kamakawiwo'ole, Over The Rainbow by Israel Kamakawiwo'ole, Upside Down by Jack Johnson, Baby by Devendra Banhart, This Love by Maroon 5, Clocks by Coldplay, Home by Phillip Phillips, Black or White by Michael Jackson, Thank You by Dido, Rolling in the Deep by Adele, Chasing Pavements by Adele, Stop! In The Name Of Love by The Supremes, Push It by Salt-N-Pepa, American Baby by Dave Matthews Band, There Goes My Baby by Usher, Ice Ice Baby by Vanilla Ice","Someone Like You by Adele, Over the Rainbow by Israel Kamakawiwo'ole, Hero by Mariah Carey, Don't Stop Believin by Journey, Landslide by Fleetwood Mac, Unwritten by Natasha Bedingfield, Stronger (What Doesn't Kill You) by Kelly Clarkson, I Will Survive by Gloria Gaynor, Feeling Good by Michael Bublé, The Climb by Miley Cyrus",0,,,
Top,"Kiss Me by Sixpence None The Richer, Breathe (2 AM) by Anna Nalick, Everything by Michael Bublé, Hold On by Michael Bublé, All I Do Is Dream Of You by Michael Bublé, All Of Me by Michael Bublé, I've Got The World On A String by Michael Bublé, At Last by Beyoncé, I Belong To You by Lenny Kravitz, Emotions by Mariah Carey, Someday by Mariah Carey, If Today Was Your Last Day by Nickelback, Dynamite by Jamiroquai, Half the Man by Jamiroquai, Blow Your Mind by Jamiroquai, Drive By by Train, Drive By by Train, Sunday Morning by Maroon 5, Where Do Broken Hearts Go by Whitney Houston, Higher Love by James Vincent McMorrow, Wanted Dead Or Alive by Bon Jovi, Waterloo by ABBA, Our Day Will Come by Amy Winehouse, For Once In My Life by Stevie Wonder, I Say a Little Prayer by Aretha Franklin, Lovely Day by Bill Withers, Signs by Snoop Dogg, Shiny Happy People by R.E.M., No Diggity by Chet Faker, Good Thing by Fine Young Cannibals, Over My Shoulder by Mike & The Mechanics, No Diggity by Chet Faker","Everything by Michael Bublé, By Your Side by Sade, Come Away With Me by Norah Jones, Make It Happen by Mariah Carey, Corner of the Earth by Jamiroquai, L-O-V-E by Nat King Cole, Just the Two of Us by Bill Withers, Better Together by Jack Johnson, You Are The Best Thing by Ray LaMontagne, Feels Like Home by Chantal Kreviazuk",1,Everything by Michael Bublé,,
sweet dreams,"I Will Follow You Into The Dark by Death Cab for Cutie, A Lack Of Color by Death Cab for Cutie, The Wolves (Act I and II) by Bon Iver, Naked As We Came by Iron & Wine, Holland by Sufjan Stevens, John Wayne Gacy, Jr. by Sufjan Stevens, All the Trees of the Field Will Clap Their Hands by Sufjan Stevens, Walk Away by Ben Harper, Dream by Priscilla Ahn, Dead Sea by The Lumineers, Everything by Ben Howard, Promise by Ben Howard, Sea of Love by Cat Power, 100 Years by EMA, John Wayne Gacy, Jr. by Sufjan Stevens, Overjoyed by Bahamas","Casimir Pulaski Day by Sufjan Stevens, I Will Follow You Into The Dark by Death Cab for Cutie, End of the Affair by Ben Howard, Holocene by Bon Iver, Gravity by John Mayer, The Night We Met by Lord Huron, Come Away With Me by Norah Jones, Skinny Love by Bon Iver, Heartbeats by José González, Turn Me On by Norah Jones",1,I Will Follow You Into The Dark by Death Cab for Cutie,,
Me,"The Downfall of Us All by A Day To Remember, I'm Made of Wax, Larry, What Are You Made Of? by A Day To Remember, NJ Legion Iced Tea by A Day To Remember, Mr. Highway's Thinking About the End by A Day To Remember, Homesick by A Day To Remember, If It Means a Lot to You by A Day To Remember, The Downfall of Us All by A Day To Remember, I'm Made of Wax, Larry, What Are You Made Of? by A Day To Remember, NJ Legion Iced Tea by A Day To Remember, Mr. Highway's Thinking About the End by A Day To Remember, Homesick by A Day To Remember, If It Means a Lot to You by A Day To Remember, Gunslinger by Avenged Sevenfold, Save Me by Avenged Sevenfold, The Sound Of Silence by Disturbed, Sad Statue by System Of A Down, Chop Suey! by System Of A Down, Rock And Roll by Led Zeppelin, Lyin' Eyes by Eagles, Take It Easy by Eagles, Love Train by The O'Jays, Pinball Wizard by The Who, Who Are You by The Who, The Unforgiven II by Metallica, Sad But True by Metallica, One by Metallica, Have a Cigar by Pink Floyd, Goodbye Blue Sky by Pink Floyd, High Hopes by Pink Floyd, Take It Back by Pink Floyd, Hey You by Pink Floyd, Wish You Were Here by Pink Floyd, Time by Pink Floyd, Piece of My Heart by Big Brother & The Holding Company, Fly Like An Eagle by Steve Miller Band, Take The Money And Run by Steve Miller Band, Live And Let Die by Paul McCartney, Down In A Hole by Alice In Chains, Rooster by Alice In Chains, Diamonds Aren't Forever by Bring Me The Horizon, Sleepwalking by Bring Me The Horizon, The House of Wolves by Bring Me The Horizon","Wish You Were Here by Pink Floyd, Nothing Else Matters by Metallica, Have a Cigar by Pink Floyd, If It Means a Lot to You by A Day To Remember, The Unforgiven by Metallica, Comfortably Numb by Pink Floyd, Sometimes You're the Hammer, Sometimes You're the Nail by A Day To Remember, Turn the Page by Bob Seger & The Silver Bullet Band, The Sound of Silence by Disturbed, Simple Man by Lynyrd Skynyrd",4,"If It Means a Lot to You by A Day To Remember, If It Means a Lot to You by A Day To Remember, Have a Cigar by Pink Floyd, Wish You Were Here by Pink Floyd",,
90s,"If You Could Only See by Tonic, Closing Time by Semisonic, Drive by Incubus, Inside Out by Eve 6, Bitter Sweet Symphony by The Verve, Santa Monica by Everclear, Mr. Jones by Counting Crows, I Miss You by Incubus, When I Come Around by Green Day, The Space Between by Dave Matthews Band, Push by Matchbox Twenty, 3AM by Matchbox Twenty, How's It Going To Be by Third Eye Blind, All For You by Sister Hazel, Shine by Collective Soul, Follow You Down by Gin Blossoms, Fly by Sugar Ray, Hook by Blues Traveler, Someday by Sugar Ray, The World I Know by Collective Soul, Save Tonight by Eagle-Eye Cherry, All I Want by Toad The Wet Sprocket, Best I Ever Had (Grey Sky Morning) by Vertical Horizon, 6th Avenue Heartache by The Wallflowers, Pardon Me by Incubus","Drive by Incubus, Unwell by Matchbox Twenty, Every Morning by Sugar Ray, I Don't Want to Miss a Thing by Aerosmith, Name by Goo Goo Dolls, The Reason by Hoobastank, Breathe (2 AM) by Anna Nalick, Daughters by John Mayer, If You Could Only See by Tonic, Amazed by Lonestar",2,"If You Could Only See by Tonic, Drive by Incubus",,
L-O-V-E,"A Thousand Years by Christina Perri, Fallin' For You by Colbie Caillat, Lucky by Jason Mraz, All of Me by John Legend, Ho Hey by The Lumineers, Your Song by Ellie Goulding, When I Say I Do by Matthew West, Marry Me by Jason Derulo, Let Me Love You by Mario, Hero by Enrique Iglesias, I Gotta Feeling by The Black Eyed Peas, Next To Me by Emeli Sandé, What Is Love by Janelle Monáe, Celebration by Kool & The Gang, Gold by Britt Nicole, Never Land by Andy Mineo, Photograph by Ed Sheeran, Bubbly by Colbie Caillat, Good Time by Owl City, Counting Stars by OneRepublic, Geronimo by So You Say, Good Feeling by Flo Rida, I Do by Colbie Caillat, One Love by Jordan Pruitt, Hollow by Tori Kelly, Hide Away by Daya, From the Ground Up by Dan + Shay, House Party by Sam Hunt, Wild Heart by The Vamps, Don't Let Me Down by The Chainsmokers, Alone (feat. Tru) by Hollyn, Over And Over Again by Nathan Sykes, My Girl by The Temptations, God Gave Me You by Blake Shelton, All Night by The Vamps, A Thousand Years by Carl Long","I Choose You by Sara Bareilles, Lucky by Jason Mraz & Colbie Caillat, Somebody Like You by Keith Urban, Thinking Out Loud by Ed Sheeran, You Are The Best Thing by Ray LaMontagne, Amazed by Lonestar, Just the Way You Are by Bruno Mars, Marry Me by Train, A Thousand Years by Christina Perri, Ho Hey by The Lumineers",2,"A Thousand Years by Christina Perri, Ho Hey by The Lumineers",,
all summer 16,"Desperado by Rihanna, Reflections by MisterWives, Low Life by Future, Fragile by Prince Fox, Say It by Flume, Feels by Kiiara, Island by Aer, Strangers by Seven Lions, Sweet Disposition by The Temper Trap, Candyman by Zedd, Paper Planes by M.I.A., Body by Dreezy, The Only Way Is Up by Martin Garrix, Till The End by Logic, Summer by Marshmello, Everyday by Ariana Grande, Hype by Drake, Inside Out by The Chainsmokers, Be Alright by Ariana Grande, Stay with Me by Diamond Eyes, With You by Drake, Promise by Kid Ink, Goodbye by Who Is Fancy, You & Me by Marc E. Bassy, Please Don't Go by Joel Adams, Start A Riot by BANNERS, Visions by Cheat Codes, High by Young Rising Sons, Paris by Magic Man, Circles by machineheart, Overwhelming by Jon Bellion, Survive by Tavi Castro, In the Name of Love by Martin Garrix, Shelter by Porter Robinson & Madeon, About You by Colouring, Broken by Tritonal, Closer by The Chainsmokers, I'm Good by The Mowgli's, Good Life by OneRepublic, Best Day Of My Life by American Authors","No Tears Left to Cry by Ariana Grande, Paris by The Chainsmokers, High on Life by Martin Garrix, Shotgun by George Ezra, Three Little Birds by Bob Marley & The Wailers, Castle on the Hill by Ed Sheeran, Can't Stop the Feeling! by Justin Timberlake, Good Vibrations by The Beach Boys, I'm Yours by Jason Mraz, On Top of the World by Imagine Dragons",0,,,
summer sixteen ,"Needed Me by Rihanna, Low Life by Future, Down In the DM by Yo Gotti, Don't Let Me Down by The Chainsmokers, All The Way Up by Fat Joe, Real Friends by Kanye West, Noise by Kenny Chesney, Save It for a Rainy Day by Kenny Chesney, Work by Rihanna, 7 Years by Lukas Graham, Hollow by Tori Kelly, Glamorous by Fergie, London Bridge by Fergie, Landslide by Dixie Chicks, Body by Dreezy, Surprise Party (feat. Blackbear) by Hoodie Allen, Wake Up by Fetty Wap, Might Not by Belly, Stay by Kygo, Make Up by R. City, Never Forget You by Zara Larsson, Why You Always Hatin? by YG, Pop Style by Drake, Figure it Out by French Montana, DOPE by T.I., Might Not by Belly, Truffle Butter by Nicki Minaj, Love Me by Lil Wayne, No Money by Galantis, Mercy by Lamborghini, Stone Cold by Demi Lovato, Gold by Kiiara, No Pressure by Classified, Closer by The Chainsmokers, Why You Always Hatin? by YG","Wild Thoughts by DJ Khaled feat. Rihanna, Bryson Tiller, American Kids by Kenny Chesney, Glamorous by Fergie feat. Ludacris, Can't Stop the Feeling! by Justin Timberlake, One Dance by Drake feat. Wizkid & Kyla, All of Me by John Legend, No Woman, No Cry by Bob Marley & The Wailers, Empire State of Mind by Jay-Z feat. Alicia Keys, Stronger by Kanye West, The Man by Aloe Blacc",0,,,
Steely Dan,"Home At Last by Steely Dan, Josie by Steely Dan, The Caves Of Altamira by Steely Dan, The Boston Rag by Steely Dan, Your Gold Teeth II by Steely Dan, Any World (That I'm Welcome To) by Steely Dan, Razor Boy by Steely Dan, King Of The World by Steely Dan, Do It Again by Steely Dan, Brooklyn (Owes The Charmer Under Me) by Steely Dan, Any World (That I'm Welcome To) by Becker and Fagen, Fire In The Hole by Steely Dan, Do It Again by Steely Dan, Black Friday by Steely Dan, Do It Again by Steely Dan, Brooklyn (Owes The Charmer Under Me) by Steely Dan, Night By Night by Steely Dan, Any Major Dude Will Tell You by Steely Dan, With A Gun by Steely Dan, Charlie Freak by Steely Dan, Do It Again by Steely Dan, King Of The World by Steely Dan, Don't Take Me Alive by Steely Dan","Deacon Blues by Steely Dan, Josie by Steely Dan, Pretzel Logic by Steely Dan, Black Cow by Steely Dan, Do It Again by Steely Dan, Hey Nineteen by Steely Dan, Rikki Don't Lose That Number by Steely Dan, Kid Charlemagne by Steely Dan, The Things I Used to Do by Stevie Ray Vaughan, Moanin by Charles Mingus",5,"Josie by Steely Dan, Do It Again by Steely Dan, Do It Again by Steely Dan, Do It Again by Steely Dan, Do It Again by Steely Dan",,
pop!,"On The Floor by Jennifer Lopez, Somebody To Love by Justin Bieber, As Long As You Love Me by Justin Bieber, Don't Wake Me Up by Chris Brown, Some Nights by fun., Diamonds by Rihanna, Take a Walk by Passion Pit, Young Blood by The Naked And Famous, Heartbreaker by Alabama Shakes, Come & Get It by Selena Gomez, Counting Stars by OneRepublic, We Can't Stop by Miley Cyrus","Sorry by Justin Bieber, Diamonds by Rihanna, Come & Get It by Selena Gomez, One Love by Bob Marley & The Wailers, Can't Stop the Feeling! by Justin Timberlake, Shut Up and Dance by WALK THE MOON, We Found Love by Rihanna feat. Calvin Harris, Kill Em with Kindness by Selena Gomez, Three Little Birds by Bob Marley & The Wailers, Raise Your Glass by P!nk",2,"Diamonds by Rihanna, Come & Get It by Selena Gomez",,
Best Hits,"I Won't Back Down by Tom Petty, Your Song by Elton John, Hallelujah by Jeff Buckley, Can't Help Falling in Love by Elvis Presley, Back In Black by AC/DC, You Shook Me All Night Long by AC/DC, Sail Away by David Gray, Dream A Little Dream Of Me by Ella Fitzgerald, My Girl by The Temptations, Runaround Sue by Dion, Jailhouse Rock by Elvis Presley, Love Me Tender by Elvis Presley, Take On Me by a-ha, I Still Haven't Found What I'm Looking For by U2, Hit Me With Your Best Shot by Pat Benatar, Stand By Me by Ben E. King, Eye of the Tiger by Survivor, What's Love Got to Do with It by Tina Turner, Don't You (Forget About Me) by Simple Minds, Tainted Love by Soft Cell, Poison by Alice Cooper, Livin' On A Prayer by Bon Jovi, Live And Let Die by Paul McCartney, Dream On by Aerosmith, Fly Me To The Moon by Frank Sinatra, Clocks by Coldplay, Ain't No Sunshine by Bill Withers, A Rose For Emily by The Zombies, Hurt by Johnny Cash, Behind Blue Eyes by The Who, Sweet Child O' Mine by Guns N' Roses, Danger Zone by Kenny Loggins, Everybody Wants To Rule The World by Tears For Fears, Sweet Caroline by Neil Diamond, Johnny B. Goode by Chuck Berry, Don't Go Breaking My Heart by Elton John, I Will Survive by Gloria Gaynor, I Got You (I Feel Good) by James Brown & The Famous Flames, Video Killed The Radio Star by The Buggles","Don't Stop Believin by Journey, Hotel California by Eagles, Bohemian Rhapsody by Queen, Sweet Child o' Mine by Guns N' Roses, Rocket Man by Elton John, Thunderstruck by AC/DC, Come Together by The Beatles, Dream On by Aerosmith, Your Song by Elton John, The Way You Look Tonight by Frank Sinatra",2,"Your Song by Elton John, Dream On by Aerosmith",,
Throwback ,"Mr. Telephone Man by New Edition, Make Me Better by Fabolous, Say Goodbye by Chris Brown, This Is How We Do It by Montell Jordan, Suga Suga by Baby Bash, Forever by Chris Brown, Love by Keyshia Cole, With You by Chris Brown, Mr. Telephone Man by New Edition, Survivor by Destiny's Child, What's My Name? by Rihanna, Fire Burning by Sean Kingston, Goodies by Ciara, Snap Yo Fingers by Youngbloodz, Buy U a Drank (Shawty Snappin') by T-Pain, Good Life by Kanye West, Glamorous by Fergie, This Is Why I'm Hot by MiMS, Disturbia by Rihanna, Irreplaceable by Beyoncé, Stronger by Kanye West, Gold Digger by Kanye West, Find Your Love by Drake, I Write Sins Not Tragedies by Panic! At The Disco, Superman by Eminem, Foolish by Ashanti, Beautiful by Snoop Dogg, Numb / Encore by JAY Z, Ice Ice Baby by Vanilla Ice, Disco Inferno by 50 Cent, Because Of You by Ne-Yo, Closer by Ne-Yo, Next To You by Chris Brown, Somebody To Love by Justin Bieber, I Tried by Bone Thugs-N-Harmony, Down by Jay Sean, Cry Me a River by Justin Timberlake, One Time by Justin Bieber, Leavin' by Jesse McCartney, Amazing by Kanye West, Baby by Justin Bieber, Miss Independent by Ne-Yo, I Gotta Feeling by The Black Eyed Peas, This Love by Maroon 5, Hollaback Girl by Gwen Stefani, Apologize by Timbaland, Let Me Love You by Mario, Can't Believe It by T-Pain, Every Little Step by Bobby Brown, No Diggity by Blackstreet, Why Do Fools Fall in Love by Frankie Lymon & The Teenagers, Rehab by Rihanna","Stronger by Kanye West, Diamonds by Rihanna, Yeah 3x by Chris Brown, Power by Kanye West, We Found Love (feat. Calvin Harris) by Rihanna, Loyal (feat. Lil Wayne & Tyga) by Chris Brown, All of the Lights by Kanye West, Don't Stop the Music by Rihanna, Run It! by Chris Brown, Touch the Sky by Kanye West",1,Stronger by Kanye West,,
Wedding,"Jump Around by House Of Pain, This Is How We Do It by Montell Jordan, Party In The U.S.A. by Miley Cyrus, Chocolate by Big Boi, What Is Love by Haddaway, No Diggity by Blackstreet, Danger Zone by Kenny Loggins, Love Gun by KISS, Whip It by DEVO, Gold Digger by Kanye West, Love Shack by The B-52's, Take On Me by a-ha, Jump by Kris Kross, Dynamite by Taio Cruz","Uptown Funk by Mark Ronson ft. Bruno Mars, Can't Stop the Feeling! by Justin Timberlake, Happy by Pharrell Williams, I Gotta Feeling by The Black Eyed Peas, 24K Magic by Bruno Mars, This Is How We Do It by Montell Jordan, No Diggity by Blackstreet ft. Dr. Dre, Queen Pen, Jump Around by House Of Pain, Hey Ya! by OutKast, Crazy In Love by Beyoncé ft. Jay-Z",2,"Jump Around by House Of Pain, This Is How We Do It by Montell Jordan",,
